# Time (Myr)     rI [kpc]       vI [km/s]     
  1.4031e+02   5.1774e+00   1.3673e+01
  1.4143e+02   5.1931e+00   1.3614e+01
  1.4255e+02   5.2086e+00   1.3558e+01
  1.4367e+02   5.2241e+00   1.3498e+01
  1.4478e+02   5.2394e+00   1.3452e+01
  1.4590e+02   5.2547e+00   1.3422e+01
  1.4701e+02   5.2700e+00   1.3564e+01
  1.4813e+02   5.2857e+00   1.3722e+01
  1.4925e+02   5.3013e+00   1.3678e+01
  1.5036e+02   5.3168e+00   1.3578e+01
  1.5147e+02   5.3322e+00   1.3475e+01
  1.5258e+02   5.3474e+00   1.3382e+01
  1.5369e+02   5.3625e+00   1.3303e+01
  1.5479e+02   5.3775e+00   1.3236e+01
  1.5591e+02   5.3925e+00   1.3186e+01
  1.5702e+02   5.4074e+00   1.3162e+01
  1.5812e+02   5.4223e+00   1.3150e+01
  1.5923e+02   5.4372e+00   1.3128e+01
  1.6033e+02   5.4519e+00   1.3106e+01
  1.6143e+02   5.4667e+00   1.3187e+01
  1.6253e+02   5.4816e+00   1.3231e+01
  1.6363e+02   5.4965e+00   1.3140e+01
  1.6474e+02   5.5112e+00   1.3065e+01
  1.6584e+02   5.5259e+00   1.3014e+01
  1.6694e+02   5.5405e+00   1.2969e+01
  1.6804e+02   5.5551e+00   1.2919e+01
  1.6914e+02   5.5695e+00   1.2870e+01
  1.7023e+02   5.5839e+00   1.2831e+01
  1.7133e+02   5.5982e+00   1.2798e+01
  1.7242e+02   5.6125e+00   1.2765e+01
  1.7352e+02   5.6268e+00   1.2740e+01
  1.7462e+02   5.6411e+00   1.2735e+01
  1.7571e+02   5.6554e+00   1.2739e+01
  1.7681e+02   5.6696e+00   1.2761e+01
  1.7789e+02   5.6838e+00   1.2753e+01
  1.7898e+02   5.6980e+00   1.2689e+01
  1.8007e+02   5.7121e+00   1.2625e+01
  1.8117e+02   5.7261e+00   1.2568e+01
  1.8226e+02   5.7402e+00   1.2531e+01
  1.8335e+02   5.7541e+00   1.2511e+01
  1.8444e+02   5.7680e+00   1.2479e+01
  1.8553e+02   5.7819e+00   1.2438e+01
  1.8661e+02   5.7957e+00   1.2397e+01
  1.8770e+02   5.8094e+00   1.2359e+01
  1.8879e+02   5.8231e+00   1.2323e+01
  1.8988e+02   5.8368e+00   1.2296e+01
  1.9097e+02   5.8505e+00   1.2286e+01
  1.9206e+02   5.8642e+00   1.2278e+01
  1.9314e+02   5.8778e+00   1.2268e+01
  1.9423e+02   5.8914e+00   1.2256e+01
  1.9531e+02   5.9049e+00   1.2218e+01
  1.9639e+02   5.9185e+00   1.2167e+01
  1.9748e+02   5.9319e+00   1.2118e+01
  1.9857e+02   5.9454e+00   1.2079e+01
  1.9966e+02   5.9588e+00   1.2053e+01
  2.0074e+02   5.9722e+00   1.2024e+01
  2.0183e+02   5.9854e+00   1.1985e+01
  2.0291e+02   5.9987e+00   1.1944e+01
  2.0399e+02   6.0119e+00   1.1905e+01
  2.0507e+02   6.0250e+00   1.1868e+01
  2.0616e+02   6.0382e+00   1.1833e+01
  2.0725e+02   6.0513e+00   1.1805e+01
  2.0833e+02   6.0644e+00   1.1789e+01
  2.0942e+02   6.0775e+00   1.1777e+01
  2.1051e+02   6.0906e+00   1.1755e+01
  2.1159e+02   6.1036e+00   1.1749e+01
  2.1268e+02   6.1166e+00   1.1734e+01
  2.1376e+02   6.1296e+00   1.1691e+01
  2.1485e+02   6.1425e+00   1.1647e+01
  2.1593e+02   6.1555e+00   1.1602e+01
  2.1702e+02   6.1684e+00   1.1565e+01
  2.1811e+02   6.1812e+00   1.1540e+01
  2.1920e+02   6.1940e+00   1.1514e+01
  2.2029e+02   6.2068e+00   1.1481e+01
  2.2138e+02   6.2196e+00   1.1449e+01
  2.2246e+02   6.2323e+00   1.1421e+01
  2.2355e+02   6.2449e+00   1.1392e+01
  2.2464e+02   6.2576e+00   1.1364e+01
  2.2573e+02   6.2703e+00   1.1345e+01
  2.2683e+02   6.2829e+00   1.1339e+01
  2.2792e+02   6.2956e+00   1.1337e+01
  2.2901e+02   6.3082e+00   1.1325e+01
  2.3009e+02   6.3208e+00   1.1312e+01
  2.3118e+02   6.3333e+00   1.1324e+01
  2.3227e+02   6.3460e+00   1.1321e+01
  2.3336e+02   6.3586e+00   1.1282e+01
  2.3446e+02   6.3712e+00   1.1251e+01
  2.3555e+02   6.3837e+00   1.1233e+01
  2.3665e+02   6.3963e+00   1.1216e+01
  2.3774e+02   6.4088e+00   1.1185e+01
  2.3883e+02   6.4212e+00   1.1151e+01
  2.3992e+02   6.4336e+00   1.1118e+01
  2.4101e+02   6.4460e+00   1.1087e+01
  2.4211e+02   6.4584e+00   1.1060e+01
  2.4320e+02   6.4708e+00   1.1042e+01
  2.4430e+02   6.4832e+00   1.1035e+01
  2.4540e+02   6.4956e+00   1.1025e+01
  2.4649e+02   6.5079e+00   1.1004e+01
  2.4759e+02   6.5202e+00   1.0981e+01
  2.4868e+02   6.5325e+00   1.0960e+01
  2.4978e+02   6.5447e+00   1.0939e+01
  2.5088e+02   6.5570e+00   1.0929e+01
  2.5198e+02   6.5693e+00   1.0940e+01
  2.5309e+02   6.5817e+00   1.0943e+01
  2.5419e+02   6.5940e+00   1.0916e+01
  2.5529e+02   6.6062e+00   1.0881e+01
  2.5639e+02   6.6184e+00   1.0845e+01
  2.5749e+02   6.6306e+00   1.0811e+01
  2.5859e+02   6.6428e+00   1.0779e+01
  2.5970e+02   6.6550e+00   1.0749e+01
  2.6081e+02   6.6671e+00   1.0729e+01
  2.6192e+02   6.6793e+00   1.0716e+01
  2.6302e+02   6.6914e+00   1.0699e+01
  2.6413e+02   6.7035e+00   1.0675e+01
  2.6524e+02   6.7156e+00   1.0651e+01
  2.6635e+02   6.7276e+00   1.0629e+01
  2.6746e+02   6.7397e+00   1.0608e+01
  2.6857e+02   6.7517e+00   1.0589e+01
  2.6969e+02   6.7638e+00   1.0577e+01
  2.7080e+02   6.7759e+00   1.0572e+01
  2.7192e+02   6.7879e+00   1.0563e+01
  2.7303e+02   6.7999e+00   1.0559e+01
  2.7415e+02   6.8120e+00   1.0566e+01
  2.7527e+02   6.8240e+00   1.0554e+01
  2.7638e+02   6.8361e+00   1.0523e+01
  2.7750e+02   6.8481e+00   1.0494e+01
  2.7863e+02   6.8601e+00   1.0468e+01
  2.7975e+02   6.8722e+00   1.0448e+01
