# extracted from file 'T6_front_zeus.dat'
# no velocities were available, so I zero padded the data.
# Time (Myr)     rI [kpc]       vI [km/s]     
    1.060950e-04   3.124750e-03   0.000000e+00
    1.194720e-04   3.124750e-03   0.000000e+00
    1.324250e-04   9.374240e-03   0.000000e+00
    1.437910e-04   9.374240e-03   0.000000e+00
    1.539440e-04   9.374240e-03   0.000000e+00
    1.631430e-04   9.374240e-03   0.000000e+00
    1.715540e-04   9.374240e-03   0.000000e+00
    1.792970e-04   9.374240e-03   0.000000e+00
    1.864640e-04   9.374240e-03   0.000000e+00
    1.931280e-04   9.374240e-03   0.000000e+00
    1.993440e-04   9.374240e-03   0.000000e+00
    2.051570e-04   9.374240e-03   0.000000e+00
    2.106030e-04   9.374240e-03   0.000000e+00
    2.157130e-04   9.374240e-03   0.000000e+00
    2.205110e-04   9.374240e-03   0.000000e+00
    2.250190e-04   9.374240e-03   0.000000e+00
    2.292550e-04   9.374240e-03   0.000000e+00
    2.332330e-04   9.374240e-03   0.000000e+00
    2.369680e-04   9.374240e-03   0.000000e+00
    2.404710e-04   9.374240e-03   0.000000e+00
    2.437550e-04   9.374240e-03   0.000000e+00
    2.468290e-04   9.374240e-03   0.000000e+00
    2.496990e-04   9.374240e-03   0.000000e+00
    2.523710e-04   9.374240e-03   0.000000e+00
    2.548500e-04   9.374240e-03   0.000000e+00
    2.571460e-04   9.374240e-03   0.000000e+00
    2.592700e-04   9.374240e-03   0.000000e+00
    2.612420e-04   9.374240e-03   0.000000e+00
    2.630860e-04   9.374240e-03   0.000000e+00
    2.648450e-04   9.374240e-03   0.000000e+00
    2.665760e-04   9.374240e-03   0.000000e+00
    2.683440e-04   9.374240e-03   0.000000e+00
    2.702090e-04   9.374240e-03   0.000000e+00
    2.722200e-04   9.374240e-03   0.000000e+00
    2.744120e-04   9.374240e-03   0.000000e+00
    2.768160e-04   9.374240e-03   0.000000e+00
    2.794560e-04   9.374240e-03   0.000000e+00
    2.823590e-04   9.374240e-03   0.000000e+00
    2.855530e-04   9.374240e-03   0.000000e+00
    2.890660e-04   9.374240e-03   0.000000e+00
    2.929300e-04   9.374240e-03   0.000000e+00
    2.971810e-04   9.374240e-03   0.000000e+00
    3.018570e-04   9.374240e-03   0.000000e+00
    3.070010e-04   9.374240e-03   0.000000e+00
    3.126610e-04   9.374240e-03   0.000000e+00
    3.188870e-04   9.374240e-03   0.000000e+00
    3.257390e-04   9.374240e-03   0.000000e+00
    3.332850e-04   9.374240e-03   0.000000e+00
    3.416090e-04   9.374240e-03   0.000000e+00
    3.508280e-04   9.374240e-03   0.000000e+00
    3.611210e-04   9.374240e-03   0.000000e+00
    3.728050e-04   9.374240e-03   0.000000e+00
    3.864860e-04   9.374240e-03   0.000000e+00
    4.034590e-04   9.374240e-03   0.000000e+00
    4.268840e-04   9.374240e-03   0.000000e+00
    4.662960e-04   9.374240e-03   0.000000e+00
    5.007080e-04   9.374240e-03   0.000000e+00
    5.313430e-04   1.562370e-02   0.000000e+00
    5.590230e-04   1.562370e-02   0.000000e+00
    5.843430e-04   1.562370e-02   0.000000e+00
    6.077010e-04   1.562370e-02   0.000000e+00
    6.293830e-04   1.562370e-02   0.000000e+00
    6.496060e-04   1.562370e-02   0.000000e+00
    6.685410e-04   1.562370e-02   0.000000e+00
    6.863230e-04   1.562370e-02   0.000000e+00
    7.030600e-04   1.562370e-02   0.000000e+00
    7.188410e-04   1.562370e-02   0.000000e+00
    7.337380e-04   1.562370e-02   0.000000e+00
    7.478140e-04   1.562370e-02   0.000000e+00
    7.611180e-04   1.562370e-02   0.000000e+00
    7.736930e-04   1.562370e-02   0.000000e+00
    7.855790e-04   1.562370e-02   0.000000e+00
    7.968050e-04   1.562370e-02   0.000000e+00
    8.074030e-04   1.562370e-02   0.000000e+00
    8.173960e-04   1.562370e-02   0.000000e+00
    8.268090e-04   1.562370e-02   0.000000e+00
    8.356600e-04   1.562370e-02   0.000000e+00
    8.439590e-04   1.562370e-02   0.000000e+00
    8.517180e-04   1.562370e-02   0.000000e+00
    8.589530e-04   1.562370e-02   0.000000e+00
    8.656790e-04   1.562370e-02   0.000000e+00
    8.719210e-04   1.562370e-02   0.000000e+00
    8.777100e-04   1.562370e-02   0.000000e+00
    8.830890e-04   1.562370e-02   0.000000e+00
    8.881270e-04   1.562370e-02   0.000000e+00
    8.929300e-04   1.562370e-02   0.000000e+00
    8.976450e-04   1.562370e-02   0.000000e+00
    9.024450e-04   1.562370e-02   0.000000e+00
    9.074940e-04   1.562370e-02   0.000000e+00
    9.129250e-04   1.562370e-02   0.000000e+00
    9.188410e-04   1.562370e-02   0.000000e+00
    9.253220e-04   1.562370e-02   0.000000e+00
    9.324410e-04   1.562370e-02   0.000000e+00
    9.402680e-04   1.562370e-02   0.000000e+00
    9.488780e-04   1.562370e-02   0.000000e+00
    9.583480e-04   1.562370e-02   0.000000e+00
    9.687660e-04   1.562370e-02   0.000000e+00
    9.802290e-04   1.562370e-02   0.000000e+00
    9.928420e-04   1.562370e-02   0.000000e+00
    1.006730e-03   1.562370e-02   0.000000e+00
    1.022060e-03   1.562370e-02   0.000000e+00
    1.039050e-03   1.562370e-02   0.000000e+00
    1.058080e-03   1.562370e-02   0.000000e+00
    1.079860e-03   1.562370e-02   0.000000e+00
    1.105900e-03   1.562370e-02   0.000000e+00
    1.139910e-03   1.562370e-02   0.000000e+00
    1.193060e-03   1.562370e-02   0.000000e+00
    1.267010e-03   1.562370e-02   0.000000e+00
    1.332410e-03   1.562370e-02   0.000000e+00
    1.391220e-03   1.562370e-02   0.000000e+00
    1.444810e-03   2.187320e-02   0.000000e+00
    1.494160e-03   2.187320e-02   0.000000e+00
    1.539950e-03   2.187320e-02   0.000000e+00
    1.582680e-03   2.187320e-02   0.000000e+00
    1.622720e-03   2.187320e-02   0.000000e+00
    1.660380e-03   2.187320e-02   0.000000e+00
    1.695880e-03   2.187320e-02   0.000000e+00
    1.729430e-03   2.187320e-02   0.000000e+00
    1.761180e-03   2.187320e-02   0.000000e+00
    1.791270e-03   2.187320e-02   0.000000e+00
    1.819790e-03   2.187320e-02   0.000000e+00
    1.846840e-03   2.187320e-02   0.000000e+00
    1.872500e-03   2.187320e-02   0.000000e+00
    1.896830e-03   2.187320e-02   0.000000e+00
    1.919900e-03   2.187320e-02   0.000000e+00
    1.941740e-03   2.187320e-02   0.000000e+00
    1.962420e-03   2.187320e-02   0.000000e+00
    1.981960e-03   2.187320e-02   0.000000e+00
    2.000400e-03   2.187320e-02   0.000000e+00
    2.017760e-03   2.187320e-02   0.000000e+00
    2.034050e-03   2.187320e-02   0.000000e+00
    2.049310e-03   2.187320e-02   0.000000e+00
    2.063550e-03   2.187320e-02   0.000000e+00
    2.076820e-03   2.187320e-02   0.000000e+00
    2.089150e-03   2.187320e-02   0.000000e+00
    2.100600e-03   2.187320e-02   0.000000e+00
    2.111270e-03   2.187320e-02   0.000000e+00
    2.121290e-03   2.187320e-02   0.000000e+00
    2.130850e-03   2.187320e-02   0.000000e+00
    2.140260e-03   2.187320e-02   0.000000e+00
    2.149830e-03   2.187320e-02   0.000000e+00
    2.159910e-03   2.187320e-02   0.000000e+00
    2.170740e-03   2.187320e-02   0.000000e+00
    2.182540e-03   2.187320e-02   0.000000e+00
    2.195460e-03   2.187320e-02   0.000000e+00
    2.209650e-03   2.187320e-02   0.000000e+00
    2.225260e-03   2.187320e-02   0.000000e+00
    2.242420e-03   2.187320e-02   0.000000e+00
    2.261310e-03   2.187320e-02   0.000000e+00
    2.282090e-03   2.187320e-02   0.000000e+00
    2.304990e-03   2.187320e-02   0.000000e+00
    2.330300e-03   2.187320e-02   0.000000e+00
    2.358460e-03   2.187320e-02   0.000000e+00
    2.390320e-03   2.187320e-02   0.000000e+00
    2.427670e-03   2.187320e-02   0.000000e+00
    2.474750e-03   2.187320e-02   0.000000e+00
    2.544510e-03   2.187320e-02   0.000000e+00
    2.673970e-03   2.187320e-02   0.000000e+00
    2.788190e-03   2.187320e-02   0.000000e+00
    2.890850e-03   2.187320e-02   0.000000e+00
    2.984340e-03   2.187320e-02   0.000000e+00
    3.070370e-03   2.812270e-02   0.000000e+00
    3.150270e-03   2.812270e-02   0.000000e+00
    3.224890e-03   2.812270e-02   0.000000e+00
    3.294900e-03   2.812270e-02   0.000000e+00
    3.360830e-03   2.812270e-02   0.000000e+00
    3.423100e-03   2.812270e-02   0.000000e+00
    3.482040e-03   2.812270e-02   0.000000e+00
    3.537930e-03   2.812270e-02   0.000000e+00
    3.591000e-03   2.812270e-02   0.000000e+00
    3.641430e-03   2.812270e-02   0.000000e+00
    3.689380e-03   2.812270e-02   0.000000e+00
    3.734990e-03   2.812270e-02   0.000000e+00
    3.778360e-03   2.812270e-02   0.000000e+00
    3.819590e-03   2.812270e-02   0.000000e+00
    3.858760e-03   2.812270e-02   0.000000e+00
    3.895950e-03   2.812270e-02   0.000000e+00
    3.931220e-03   2.812270e-02   0.000000e+00
    3.964640e-03   2.812270e-02   0.000000e+00
    3.996240e-03   2.812270e-02   0.000000e+00
    4.026040e-03   2.812270e-02   0.000000e+00
    4.054080e-03   2.812270e-02   0.000000e+00
    4.080380e-03   2.812270e-02   0.000000e+00
    4.105000e-03   2.812270e-02   0.000000e+00
    4.127980e-03   2.812270e-02   0.000000e+00
    4.149390e-03   2.812270e-02   0.000000e+00
    4.169330e-03   2.812270e-02   0.000000e+00
    4.187940e-03   2.812270e-02   0.000000e+00
    4.205400e-03   2.812270e-02   0.000000e+00
    4.222050e-03   2.812270e-02   0.000000e+00
    4.238310e-03   2.812270e-02   0.000000e+00
    4.254750e-03   2.812270e-02   0.000000e+00
    4.271910e-03   2.812270e-02   0.000000e+00
    4.290280e-03   2.812270e-02   0.000000e+00
    4.310220e-03   2.812270e-02   0.000000e+00
    4.332040e-03   2.812270e-02   0.000000e+00
    4.355990e-03   2.812270e-02   0.000000e+00
    4.382310e-03   2.812270e-02   0.000000e+00
    4.411270e-03   2.812270e-02   0.000000e+00
    4.443160e-03   2.812270e-02   0.000000e+00
    4.478330e-03   2.812270e-02   0.000000e+00
    4.517320e-03   2.812270e-02   0.000000e+00
    4.561090e-03   2.812270e-02   0.000000e+00
    4.611610e-03   2.812270e-02   0.000000e+00
    4.673630e-03   2.812270e-02   0.000000e+00
    4.761240e-03   2.812270e-02   0.000000e+00
    4.935840e-03   2.812270e-02   0.000000e+00
    5.119530e-03   2.812270e-02   0.000000e+00
    5.284220e-03   2.812270e-02   0.000000e+00
    5.434050e-03   2.812270e-02   0.000000e+00
    5.571860e-03   2.812270e-02   0.000000e+00
    5.699760e-03   3.437220e-02   0.000000e+00
    5.819300e-03   3.437220e-02   0.000000e+00
    5.931560e-03   3.437220e-02   0.000000e+00
    6.037400e-03   3.437220e-02   0.000000e+00
    6.137510e-03   3.437220e-02   0.000000e+00
    6.232420e-03   3.437220e-02   0.000000e+00
    6.322590e-03   3.437220e-02   0.000000e+00
    6.408380e-03   3.437220e-02   0.000000e+00
    6.490080e-03   3.437220e-02   0.000000e+00
    6.567960e-03   3.437220e-02   0.000000e+00
    6.642210e-03   3.437220e-02   0.000000e+00
    6.713020e-03   3.437220e-02   0.000000e+00
    6.780530e-03   3.437220e-02   0.000000e+00
    6.844870e-03   3.437220e-02   0.000000e+00
    6.906160e-03   3.437220e-02   0.000000e+00
    6.964490e-03   3.437220e-02   0.000000e+00
    7.019950e-03   3.437220e-02   0.000000e+00
    7.072620e-03   3.437220e-02   0.000000e+00
    7.122520e-03   3.437220e-02   0.000000e+00
    7.169700e-03   3.437220e-02   0.000000e+00
    7.214200e-03   3.437220e-02   0.000000e+00
    7.256060e-03   3.437220e-02   0.000000e+00
