# Time (Myr)     rI [kpc]       vI [km/s]     
  1.3000000E-05  4.1812402E-03   111934.353837091     
  1.5399999E-05  4.1812402E-03   55610.5449525433     
  3.0859799E-05  5.1955702E-03   79323.7328102230     
  3.6831800E-05  5.9174704E-03   97635.9836024981     
  4.3998200E-05  6.5056505E-03   78717.9946744122     
  5.2597799E-05  7.1849502E-03   61125.1541255116     
  6.2917403E-05  7.6867002E-03   44087.1011621394     
  7.5300799E-05  8.2071600E-03   44407.9787399778     
  9.0161004E-05  8.9222807E-03   40117.1785856604     
  1.0100000E-04  9.2600808E-03   35351.9306131378     
  1.2100000E-04  1.0035700E-02   27813.0894170832     
  1.4500000E-04  1.0509901E-02   23676.0601245718     
  1.7380000E-04  1.1312400E-02   22754.3833459944     
  2.0836000E-04  1.1982300E-02   18598.8293993013     
  2.4983200E-04  1.2756601E-02   17903.0523614880     
  2.9959800E-04  1.3650501E-02   15605.0960941472     
  3.5931799E-04  1.4501501E-02   13191.2271425307     
  4.3098201E-04  1.5420500E-02   10509.5659578566     
  5.1697803E-04  1.6193701E-02   10380.4915952406     
  6.2017399E-04  1.7426202E-02   10165.5439612365     
  7.4400799E-04  1.8550700E-02   7777.62904046888     
  8.9261000E-04  1.9590201E-02   6978.94186744199     
  1.0010001E-03  2.0382401E-02   6715.28653965635     
  1.2009999E-03  2.1705201E-02   5758.35966226076     
  1.4410000E-03  2.2970000E-02   4955.33861018501     
  1.7290000E-03  2.4377301E-02   4550.26021423054     
  2.0746002E-03  2.5914401E-02   4158.26871953436     
  2.4893200E-03  2.7606200E-02   3636.95299733861     
  2.9869799E-03  2.9303303E-02   3068.16545502380     
  3.5841800E-03  3.1036900E-02   2788.49096125992     
  4.3008197E-03  3.3044901E-02   2445.91845453951     
  5.1607797E-03  3.4975201E-02   2161.85559476766     
  6.1927401E-03  3.7222002E-02   1888.79875876761     
  7.4310801E-03  3.9354600E-02   1609.15025459929     
  8.9170998E-03  4.1699201E-02   1484.98268202900     
  1.0001000E-02  4.3252103E-02   1297.24125302822     
  1.2001000E-02  4.5784902E-02   1142.97066145491     
  1.4401000E-02  4.8388202E-02   975.749841978909     
  1.7281000E-02  5.1046502E-02   833.555293184019     
  2.0737000E-02  5.3782005E-02   713.238227382032     
  2.4884200E-02  5.6584805E-02   599.250483019469     
  2.9860800E-02  5.9365802E-02   499.820787811164     
  3.5832800E-02  6.2173601E-02   414.585116435116     
  4.2999201E-02  6.4928703E-02   333.670557289046     
  5.1598802E-02  6.7546204E-02   266.252919468046     
  6.1918397E-02  7.0073202E-02   214.970802360674     
  7.1825102E-02  7.1986802E-02   159.624832972780     
  8.6190000E-02  7.4030004E-02   124.164509103702     
  0.1000010      7.5559705E-02   88.3738509206815     
  0.1200010      7.7081598E-02   61.0864141825583     
  0.1440010      7.8304708E-02   41.7182950345115     
  0.1728010      7.9331204E-02   27.7871665053553     
  0.2054910      8.0049701E-02   18.8306713390697     
  0.2321000      8.0471605E-02   13.2004445506522     
  0.2657520      8.0862105E-02   10.0329572486925     
  0.2998500      8.1165805E-02   8.16293531727658     
  0.3343050      8.1433602E-02   7.19585591214755     
  0.3691240      8.1674904E-02   6.70990818236297     
  0.4000010      8.1883803E-02   6.61472342593187     
  0.4355440      8.2123600E-02   6.78973508619655     
  0.4714590      8.2379304E-02   7.26017000896931     
  0.5004970      8.2605205E-02   7.91861940466956     
  0.5100640      8.2681902E-02   7.92715792722355     
  0.5196870      8.2769603E-02   8.02299188921805     
  0.5293280      8.2847305E-02   8.22247610570354     
  0.5444220      8.2970008E-02   8.36137670836463     
  0.5595500      8.3101101E-02   8.13675425505663     
  0.5747180      8.3234005E-02   8.17636915256309     
  0.6118080      8.3532706E-02   8.65658178793302     
  0.6270230      8.3674304E-02   8.91696932304025     
  0.6422660      8.3820902E-02   8.97177598694728     
  0.6575610      8.3966404E-02   9.49931650937730     
  0.6728650      8.4127806E-02   9.58368473525553     
  0.6882000      8.4273808E-02   9.58656118788897     
  0.7035670      8.4422901E-02   9.67917316671697     
  0.7189860      8.4574409E-02   9.65898545626886     
  0.7344570      8.4723510E-02   9.87733225579734     
  0.7499620      8.4879801E-02   10.1600554901304     
  0.7624080      8.5011102E-02   10.2569402924058     
  0.7723730      8.5122906E-02   10.2569402924058     
  0.7823530      8.5231699E-02   10.4044524421150     
