# Time (Myr)     rI [kpc]       vI [km/s]     
  0.0000e+00   0.0000e+00   3.1037e+04
  3.0323e-04   1.5849e-02   3.1037e+04
  6.0712e-04   1.9256e-02   9.0653e+03
  9.0797e-04   2.1451e-02   8.2293e+03
  1.2034e-03   2.4271e-02   6.3005e+03
  1.5085e-03   2.5317e-02   3.0128e+03
  1.8220e-03   2.6175e-02   3.7101e+03
  2.1358e-03   2.7696e-02   5.5504e+03
  2.3954e-03   2.9427e-02   4.9859e+03
  2.7148e-03   3.0646e-02   3.0123e+03
  2.9979e-03   3.1282e-02   1.7824e+03
  3.2940e-03   3.1701e-02   1.5292e+03
  3.6030e-03   3.2227e-02   1.9494e+03
  3.9318e-03   3.2971e-02   2.8580e+03
  4.2411e-03   3.4091e-02   3.8952e+03
  4.5305e-03   3.5355e-02   3.6526e+03
  4.7930e-03   3.6151e-02   2.4763e+03
  5.1274e-03   3.6865e-02   1.8120e+03
  5.4221e-03   3.7316e-02   1.2999e+03
  5.7028e-03   3.7629e-02   9.9141e+02
  6.0061e-03   3.7908e-02   9.6651e+02
  6.3014e-03   3.8221e-02   1.1295e+03
  6.5990e-03   3.8592e-02   1.3408e+03
  6.8978e-03   3.9038e-02   1.7164e+03
  7.2581e-03   3.9748e-02   2.2310e+03
  7.4936e-03   4.0396e-02   2.8262e+03
  7.8296e-03   4.1399e-02   2.5613e+03
  8.1418e-03   4.2093e-02   1.9422e+03
  8.4274e-03   4.2585e-02   1.5364e+03
  8.6852e-03   4.2946e-02   1.2381e+03
  8.9842e-03   4.3290e-02   1.0210e+03
  9.2868e-03   4.3574e-02   8.3105e+02
  9.5908e-03   4.3805e-02   6.8626e+02
  9.8815e-03   4.3991e-02   6.3420e+02
  1.0217e-02   4.4211e-02   6.7799e+02
  1.0515e-02   4.4429e-02   7.6150e+02
  1.0814e-02   4.4675e-02   8.6990e+02
  1.1199e-02   4.5037e-02   9.8714e+02
  1.1515e-02   4.5382e-02   1.1124e+03
  1.1694e-02   4.5600e-02   1.4115e+03
  1.2052e-02   4.6157e-02   1.7397e+03
  1.2397e-02   4.6851e-02   1.9833e+03
  1.2728e-02   4.7527e-02   1.8995e+03
  1.2887e-02   4.7802e-02   1.5369e+03
  1.3194e-02   4.8258e-02   1.3435e+03
  1.3483e-02   4.8619e-02   1.1011e+03
  1.3883e-02   4.9034e-02   9.5541e+02
  1.4127e-02   4.9248e-02   7.9622e+02
  1.4459e-02   4.9502e-02   7.0269e+02
  1.4749e-02   4.9695e-02   6.1464e+02
  1.5000e-02   4.9843e-02   5.4028e+02
  1.5278e-02   4.9987e-02   4.7748e+02
  1.5603e-02   5.0137e-02   4.4016e+02
  1.5919e-02   5.0275e-02   4.3900e+02
  1.6200e-02   5.0405e-02   4.6397e+02
  1.6480e-02   5.0542e-02   5.0112e+02
  1.6840e-02   5.0732e-02   5.3931e+02
  1.7137e-02   5.0903e-02   5.9302e+02
  1.7487e-02   5.1124e-02   6.3466e+02
  1.7686e-02   5.1260e-02   7.1255e+02
  1.8137e-02   5.1598e-02   7.6268e+02
  1.8393e-02   5.1811e-02   8.7634e+02
  1.8657e-02   5.2063e-02   1.0211e+03
  1.8917e-02   5.2357e-02   1.1835e+03
  1.9172e-02   5.2686e-02   1.3799e+03
  1.9666e-02   5.3413e-02   1.3985e+03
  1.9905e-02   5.3733e-02   1.2414e+03
  2.0138e-02   5.4012e-02   1.1141e+03
  2.0365e-02   5.4257e-02   9.6472e+02
  2.0802e-02   5.4667e-02   8.8092e+02
  2.1011e-02   5.4838e-02   7.4741e+02
  2.1410e-02   5.5131e-02   6.9364e+02
  2.1600e-02   5.5256e-02   6.0530e+02
  2.1961e-02   5.5472e-02   5.5409e+02
  2.2297e-02   5.5651e-02   5.0783e+02
  2.2456e-02   5.5729e-02   4.4920e+02
  2.2893e-02   5.5925e-02   4.2116e+02
  2.3155e-02   5.6030e-02   3.7957e+02
  2.3392e-02   5.6118e-02   3.4845e+02
  2.3709e-02   5.6227e-02   3.2448e+02
  2.3985e-02   5.6315e-02   3.0329e+02
  2.4316e-02   5.6415e-02   2.9730e+02
  2.4566e-02   5.6491e-02   3.0201e+02
  2.4854e-02   5.6581e-02   3.1249e+02
  2.5211e-02   5.6697e-02   3.2529e+02
  2.5502e-02   5.6797e-02   3.4415e+02
  2.5846e-02   5.6921e-02   3.6567e+02
  2.6253e-02   5.7077e-02   3.8476e+02
  2.6484e-02   5.7171e-02   4.0825e+02
  2.6735e-02   5.7278e-02   4.2818e+02
  2.7009e-02   5.7401e-02   4.5114e+02
  2.7306e-02   5.7542e-02   4.7768e+02
  2.7630e-02   5.7705e-02   5.0941e+02
  2.7984e-02   5.7894e-02   5.4795e+02
  2.8368e-02   5.8118e-02   6.1926e+02
  2.8754e-02   5.8382e-02   7.2634e+02
  2.9134e-02   5.8686e-02   8.3151e+02
  2.9507e-02   5.9021e-02   9.3151e+02
  2.9872e-02   5.9389e-02   9.7374e+02
  3.0230e-02   5.9741e-02   9.0963e+02
  3.0580e-02   6.0047e-02   8.0981e+02
  3.0922e-02   6.0314e-02   7.2686e+02
  3.1257e-02   6.0549e-02   6.5728e+02
  3.1582e-02   6.0757e-02   5.9828e+02
  3.1900e-02   6.0943e-02   5.4785e+02
  3.2209e-02   6.1108e-02   5.0439e+02
  3.2510e-02   6.1257e-02   4.6669e+02
  3.2802e-02   6.1391e-02   4.3378e+02
  3.3086e-02   6.1512e-02   4.0491e+02
  3.3361e-02   6.1622e-02   3.7929e+02
  3.3628e-02   6.1722e-02   3.5651e+02
  3.3886e-02   6.1814e-02   3.3635e+02
  3.4136e-02   6.1897e-02   3.1836e+02
  3.4377e-02   6.1973e-02   3.0217e+02
  3.4610e-02   6.2043e-02   2.8756e+02
  3.4834e-02   6.2108e-02   2.7442e+02
  3.5051e-02   6.2167e-02   2.6257e+02
  3.5259e-02   6.2222e-02   2.5182e+02
  3.5459e-02   6.2272e-02   2.4206e+02
  3.5652e-02   6.2319e-02   2.2951e+02
  3.6015e-02   6.2403e-02   2.1893e+02
  3.6352e-02   6.2475e-02   2.0724e+02
  3.6666e-02   6.2540e-02   1.9925e+02
  3.6963e-02   6.2600e-02   1.9548e+02
  3.7251e-02   6.2657e-02   1.9552e+02
