# Time (Myr)     rI [kpc]       vI [km/s]     
    0.007924     0.03248        1349
     0.01991     0.05172       935.4
        0.05     0.07149       438.6
      0.1256     0.08737       139.7
      0.3155     0.09308        32.6
           1     0.09606       10.59
           2      0.1079       12.99
           3      0.1236       16.18
           4      0.1425       17.58
           5      0.1607       17.86
           6      0.1786       17.91
           7      0.1971       18.38
           8       0.216       19.05
           9      0.2361       19.78
          10      0.2565       20.29
          11       0.278       20.59
          12      0.2987       20.96
          13      0.3203       21.41
          14      0.3428       21.71
          15      0.3652       21.77
          16      0.3869       21.88
          17      0.4097       22.19
          18      0.4326       22.51
          19      0.4557       22.79
          20       0.479       23.01
          21      0.5031       23.05
          22      0.5264       23.09
          23      0.5497       23.16
          24       0.574       23.41
          25      0.5976       23.26
          26      0.6222       23.08
          27      0.6443       23.29
          28       0.669        23.8
          29      0.6938       24.34
          30      0.7187       24.61
          31      0.7439       24.06
          32      0.7699        18.9
          33      0.7902       10.07
          34      0.7884       2.212
          35      0.7872     -0.9128
          36      0.7865     -0.4136
          37      0.7865     -0.1072
          38      0.7865      0.3959
          39      0.7865      0.2172
          40      0.7889      0.3217
          41      0.7854       1.284
          42      0.7896       2.142
          43      0.7937       2.037
          44      0.7937       0.679
          45      0.7937           0
          46      0.7937           0
          47      0.7937           0
          48      0.7937           0
          49      0.7937           0
          50      0.7937           0
          51      0.7937           0
          52      0.7937           0
          53      0.7937           0
          54      0.7937           0
          55      0.7937           0
          56      0.7937           0
          57      0.7937           0
          58      0.7937           0
          59      0.7937           0
          60      0.7937           0
          61      0.7937           0
          62      0.7937           0
          63      0.7937           0
          64      0.7937           0
          65      0.7937           0
          66      0.7937           0
          67      0.7937           0
          68      0.7937           0
          69      0.7937           0
          70      0.7937           0
          71      0.7937           0
          72      0.7937           0
          73      0.7937           0
          74      0.7937           0
          75      0.7937           0
