# from file T1_front_razoumov_caseB.dat
#    t [Myr]     r [kpc]      v [km/s]
   21.51522       2.920348       45.67931    
   21.73037       2.929838       43.12745    
   21.94768       2.939097       41.66212    
   22.16715       2.948397       41.43291    
   22.38882       2.958025       42.46739    
   22.61271       2.968170       44.30828    
   22.83884       2.977931       42.21032    
   23.06723       2.987332       40.24726    
   23.29790       2.996650       39.49564    
   23.53088       3.006176       39.98269    
   23.76619       3.016215       41.71456    
   24.00385       3.025897       39.83461    
   24.24389       3.035063       37.33826    
   24.48633       3.043991       36.00642    
   24.73119       3.052960       35.81833    
   24.97850       3.062262       36.77419    
   25.22829       3.072097       38.50285    
   25.48057       3.081540       36.59887    
   25.73538       3.090567       34.63984    
   25.99273       3.099450       33.75112    
   26.25266       3.108469       33.92510    
   26.51518       3.117903       35.13931    
   26.78033       3.127765       36.36897    
   27.04814       3.137151       34.27011    
   27.31862       3.146277       32.99053    
   27.59181       3.155425       32.74188    
   27.86772       3.164882       33.51457    
   28.14640       3.175009       35.53384    
   28.42787       3.185061       34.91866    
   28.71214       3.194790       33.46444    
   28.99927       3.204496       33.05251    
   29.28926       3.214489       33.69604    
   29.58215       3.224966       34.97594    
   29.87797       3.234882       32.77570    
   30.00000       3.238980       32.83757    
   30.30000       3.248401       30.70545    
   30.60300       3.257838       30.45452    
   30.90903       3.267599       31.18703    
   31.21812       3.277718       32.01055    
   31.53030       3.287101       29.39035    
   31.84560       3.296049       27.74982    
   32.16406       3.304834       26.97154    
   32.48570       3.313733       27.05393    
   32.81056       3.323030       27.98438    
   33.13866       3.332667       28.71891    
   33.47005       3.341760       26.82937    
   33.80475       3.350508       25.55712    
   34.14280       3.359179       25.07992    
   34.48423       3.368042       25.38447    
   34.82907       3.377371       26.45260    
   35.17736       3.387502       28.44026    
   35.52913       3.397188       26.92347    
   35.88443       3.406714       26.21641    
   36.24327       3.416375       26.32479    
   36.60570       3.426472       27.24047    
   36.97176       3.436582       27.00654    
   37.34148       3.446112       25.20456    
   37.71489       3.455395       24.30688    
   38.09204       3.464713       24.15911    
   38.47296       3.474359       24.76062    
   38.85769       3.484491       25.75073    
   39.24627       3.494210       24.45595    
   39.63873       3.503588       23.36586    
   40.03512       3.512909       22.99250    
   40.43547       3.522467       23.34402    
   40.83982       3.532565       24.41821    
   41.24822       3.542612       24.05338    
   41.66070       3.552225       22.78830    
   42.07731       3.561693       22.22162    
   42.49808       3.571318       22.36770    
   42.92307       3.581414       23.22990    
   43.35229       3.591505       22.98741    
   43.78582       3.600995       21.40295    
   44.22367       3.610220       20.60221    
   44.66591       3.619476       20.46417    
   45.11257       3.629064       20.98987    
   45.56370       3.639316       22.22157    
   46.01933       3.649400       21.63894    
   46.47953       3.659153       20.72253    
   46.94432       3.668887       20.47881    
   47.41376       3.678929       20.91649    
   47.88791       3.689467       21.73169    
   48.36678       3.699445       20.37291    
   48.85045       3.709016       19.34888    
   49.33895       3.718487       18.95734    
   49.83234       3.728177       19.20416    
   50.33067       3.738419       20.09616    
   50.83397       3.748993       20.54346    
   51.34232       3.759130       19.49875    
   51.85574       3.769160       19.10175    
   52.37429       3.779431       19.36749    
   52.89804       3.790294       20.28030    
   53.42702       3.800858       19.52665    
   53.96129       3.810969       18.50459    
   54.50090       3.820966       18.11452    
   55.04591       3.831205       18.37040    
   55.59637       3.842034       19.23590    
   56.15233       3.852422       18.27024    
   56.71386       3.862318       17.23270    
   57.28099       3.872061       16.79635    
   57.85381       3.882001       16.96923    
   58.43234       3.892505       17.75311    
   59.01667       3.903086       17.70587    
   59.60683       3.913131       16.64300    
   60.20290       3.922991       16.17345    
   60.80493       3.933025       16.29708    
   61.41298       3.943604       17.01329    
   62.02711       3.954529       17.39304    
   62.64738       3.964955       16.43600    
   63.27385       3.975237       16.04864    
   63.90659       3.985762       16.26378    
   64.54566       3.996889       17.02593    
   65.19112       4.007463       16.01756    
   65.84303       4.017527       15.09494    
   66.50146       4.027441       14.72348    
   67.16647       4.037579       14.90560    
   67.83813       4.048324       15.64290    
   68.51652       4.059044       15.45173    
   69.20168       4.069268       14.59104    
   69.89370       4.079366       14.26726    
   70.59264       4.089719       14.48353    
   71.29856       4.100702       15.21390    
   72.01155       4.111483       14.78399    
   72.73167       4.121806       14.01772    
   73.45898       4.132052       13.77500    
   74.19357       4.142615       14.05986    
   74.93551       4.153754       14.68022    
   75.68486       4.164339       13.81112    
   76.44171       4.174492       13.11737    
   77.20612       4.184589       12.91615    
   77.97819       4.195018       13.20816    
   78.75797       4.206007       13.77823    
   79.54555       4.216454       12.97030    
   80.34100       4.226483       12.32859    
   81.14442       4.236465       12.14870    
   81.95586       4.246779       12.42886    
   82.77542       4.257725       13.05947    
   83.60317       4.268305       12.49762    
   84.43920       4.278500       11.92324    
   85.28359       4.288686       11.79549    
   86.13643       4.299252       12.11382    
   86.99780       4.310421       12.67900    
   87.86777       4.321152       12.06125    
   88.74645       4.331570       11.59356    
   89.63392       4.342066       11.56445    
   90.53026       4.353045       11.97626    
   91.43555       4.364108       11.94933    
   92.34991       4.374393       10.99866    
   93.27341       4.384386       10.58054    
   94.20615       4.394459       10.55996    
   95.14821       4.404994       10.93460    
   96.09969       4.415666       10.96698    
   97.06068       4.425604       10.11204    
   98.03130       4.435218       9.685234    
   99.01160       4.444858       9.615023    
   100.0000       4.454861       9.895733    
   101.0000       4.465630       10.53005    
   102.0100       4.476152       10.18608    
   103.0301       4.486374       9.798822    
   104.0604       4.496667       9.768104    
   105.1010       4.507407       10.09202    
   106.1520       4.518453       10.27649    
   107.2135       4.528884       9.608573    
   108.2857       4.539072       9.291148    
   109.3685       4.549383       9.310589    
   110.4622       4.560195       9.666895    
   111.5668       4.570993       9.557977    
   112.6825       4.581093       8.851703    
   113.8093       4.590946       8.550172    
   114.9474       4.600903       8.553704    
   116.0969       4.611318       8.859898    
   117.2579       4.621835       8.857499    
   118.4304       4.631652       8.186604    
   119.6147       4.641175       7.862948    
   120.8109       4.650733       7.813132    
   122.0190       4.660658       8.032772    
   123.2392       4.671078       8.349971    
   124.4716       4.681002       7.873677    
   125.7163       4.690575       7.520399    
   126.9735       4.700116       7.420451    
   128.2432       4.709945       7.569231    
   129.5256       4.720323       7.912918    
   130.8209       4.730362       7.578793    
   132.1291       4.740010       7.211142    
   133.4504       4.749573       7.076869    
   134.7849       4.759362       7.172387    
   136.1327       4.769681       7.486472    
   137.4941       4.779601       7.124939    
   138.8690       4.789079       6.739835    
   140.2577       4.798400       6.563407    
   141.6603       4.807858       6.593266    
   143.0769       4.817744       6.823795    
   144.5076       4.827855       6.910204    
   145.9527       4.837441       6.486094    
   147.4122       4.846797       6.268119    
   148.8864       4.856204       6.239685    
   150.3752       4.865944       6.397162    
   151.8790       4.875894       6.469679    
   153.3978       4.884890       5.791420    
   154.9318       4.893500       5.488140    
   156.4811       4.901966       5.343248    
   158.0459       4.910527       5.349683    
   159.6263       4.919418       5.500487    
   161.2226       4.928834       5.768142    
   162.8348       4.937984       5.548897    
   164.4632       4.946825       5.308757    
   166.1078       4.955620       5.229099    
   167.7689       4.964600       5.286392    
   169.4466       4.973992       5.473962    
   171.1411       4.983134       5.275088    
   172.8525       4.991692       4.889365    
   174.5810       4.999996       4.697939    
   176.3268       5.008288       4.644137    
   178.0901       5.016768       4.702218    
   179.8710       5.025656       4.880182    
   181.6697       5.034446       4.778433    
   183.4864       5.042712       4.448662    
   185.3212       5.050721       4.268066    
   187.1744       5.058683       4.200893    
   189.0462       5.066797       4.238877    
   190.9366       5.075276       4.385577    
   192.8460       5.084048       4.492350    
   194.7745       5.092402       4.235570    
   196.7222       5.100489       4.059955    
   198.6894       5.108510       3.986835    
   200.0000       5.113997       4.094054    
   202.0000       5.122355       4.085619    
   204.0200       5.131138       4.251700    
   206.0602       5.139249       3.887471    
   208.1208       5.146986       3.671325    
   210.2020       5.154531       3.544624    
   212.3040       5.162053       3.499191    
   214.4271       5.169737       3.538961    
   216.5713       5.177760       3.658606    
   218.7371       5.185840       3.648113    
   220.9244       5.193267       3.319940    
   223.1337       5.200389       3.152035    
   225.3650       5.207357       3.053504    
   227.6187       5.214326       3.023776    
   229.8948       5.221444       3.057628    
   232.1938       5.228857       3.152957    
   234.5157       5.236535       3.233092    
   236.8609       5.243809       3.033129    
   239.2295       5.250796       2.884462    
   241.6218       5.257641       2.797533    
   244.0380       5.264480       2.767482    
   246.4784       5.271446       2.791163    
   248.9432       5.278672       2.866669    
   251.4326       5.286173       2.946512    
   253.9469       5.292949       2.634758    
   256.4864       5.299409       2.487796    
   259.0513       5.305676       2.389105    
   261.6418       5.311861       2.334399    
   264.2582       5.318070       2.320410    
   266.9008       5.324407       2.344738    
   269.5698       5.330974       2.405722    
   272.2655       5.337767       2.464094    
   274.9881       5.343981       2.231555    
   277.7380       5.349916       2.110713    
   280.5154       5.355671       2.026050    
   283.3206       5.361335       1.974243    
   286.1537       5.366993       1.952653    
   289.0153       5.372727       1.959229    
   291.9055       5.378616       1.992411    
   294.8245       5.384739       2.051053    
   297.7727       5.390973       2.067383    
   300.7505       5.396855       1.931749    
   303.7580       5.402536       1.847074    
   306.7956       5.408096       1.789460    
   309.8635       5.413607       1.756645    
   312.9622       5.419143       1.746818    
   316.0918       5.424771       1.758549    
   319.2527       5.430560       1.790730    
   322.4452       5.436576       1.842516    
   325.6697       5.442474       1.788463    
   328.9264       5.447837       1.610136    
   332.2156       5.453028       1.543090    
   335.5378       5.458109       1.495497    
   338.8932       5.463139       1.465715    
   342.2821       5.468172       1.452382    
   345.7049       5.473263       1.454368    
   349.1620       5.478463       1.470739    
   352.6536       5.483822       1.500715    
   356.1801       5.489389       1.543637    
   359.7419       5.494609       1.433075    
   363.3393       5.499401       1.302387    
   366.9727       5.504055       1.252326    
   370.6425       5.508616       1.215494    
   374.3489       5.513130       1.190750    
   378.0924       5.517637       1.177114    
   381.8733       5.522175       1.173738    
   385.6920       5.526783       1.179881    
   389.5490       5.531497       1.194883    
   393.4444       5.536349       1.218148    
   397.3789       5.541376       1.249116    
   401.3527       5.545949       1.125351    
   405.3662       5.550138       1.020724    
   409.4199       5.554214      0.9830814    
   413.5141       5.558208      0.9539538    
   417.6492       5.562152      0.9325665    
   421.8257       5.566074      0.9182310    
   426.0439       5.570002      0.9103300    
   430.3044       5.573959      0.9083030    
   434.6074       5.577971      0.9116332    
   438.9535       5.582059      0.9198353    
   443.3430       5.586246      0.9324436    
   447.7765       5.590549      0.9490016    
   452.2542       5.594899      0.9499547    
   456.7768       5.598469      0.7719465    
   461.3445       5.601935      0.7418768    
   465.9580       5.605318      0.7170451    
   470.6176       5.608639      0.6969388    
   475.3238       5.611917      0.6810929    
   480.0770       5.615170      0.6690816    
   484.8777       5.618412      0.6605118    
   489.7265       5.621661      0.6550158    
   494.6238       5.624928      0.6522463    
   499.5700       5.628225      0.6518704    
   500.0000       5.628519      0.6673571    
